"","PID","condition","block","effort_choice","effort_choice_RT","Switch","TS_correct","TS_RT","Session"
"1",1,"control",1,0,11.2470135561889,FALSE,1,2.05327582801692,1
"2",1,"control",1,1,0.664070786791854,FALSE,1,1.49232344608754,1
"3",1,"control",1,1,1.51658552687149,FALSE,1,1.12559989385772,1
"4",1,"control",1,0,0.715471265139058,TRUE,1,0.932405518135056,1
"5",1,"control",1,1,0.738259420031682,FALSE,1,1.8269070815295,1
"6",1,"control",1,1,0.549319181707688,TRUE,0,0.990868026041426,1
"7",1,"control",1,0,0.484910585451871,TRUE,1,2.04797635111026,1
"8",1,"control",1,0,0.957892708363943,TRUE,0,1.82197523082141,1
"9",1,"control",1,1,0.975475625600666,FALSE,0,2.88565635017585,1
"10",1,"control",1,1,0.62127313320525,FALSE,1,4.66535654524341,1
"11",1,"control",1,1,0.713410132797435,FALSE,1,0.826803511707112,1
"12",1,"control",1,1,0.717150153242983,FALSE,1,1.47030973201618,1
"13",1,"control",1,0,0.98963420803193,TRUE,1,2.33091317990329,1
"14",1,"control",1,0,0.479062157566659,TRUE,0,3.41103483864572,1
"15",1,"control",1,0,0.840670668054372,TRUE,1,1.8207694045268,1
"16",1,"control",1,1,0.420062206336297,FALSE,1,1.91331259685103,1
"17",1,"control",1,1,0.699648723355494,FALSE,1,0.701469747931696,1
"18",1,"control",1,1,1.14422752871178,FALSE,0,2.63946844974998,1
"19",1,"control",1,0,0.462815384031273,TRUE,0,1.25082635553554,1
"20",1,"control",1,0,0.543970252620056,TRUE,1,4.79179163230583,1
"21",1,"control",1,0,0.437503920402378,TRUE,1,1.45096301787999,1
"22",1,"control",1,0,0.382814090116881,TRUE,0,1.27162118069828,1
"23",1,"control",1,0,1.62355073576327,TRUE,1,2.37836929736659,1
"24",1,"control",1,1,0.517043348867446,FALSE,1,2.33582419238519,1
"25",1,"control",1,0,0.482223680126481,TRUE,1,2.15676289552357,1
"26",1,"control",1,0,0.454764931462705,TRUE,1,1.26727933564689,1
"27",1,"control",1,0,0.421298823552206,TRUE,1,1.18822603207082,1
"28",1,"control",1,1,1.12610063666943,FALSE,1,3.63017267140094,1
"29",1,"control",1,1,0.6823671850143,FALSE,0,1.45255575352348,1
"30",1,"control",1,0,0.529905598261394,TRUE,1,2.4989767948864,1
"31",1,"control",1,0,0.875924521475099,TRUE,0,3.26929661398754,1
"32",1,"control",1,1,1.41736565926112,FALSE,1,1.88364591426216,1
"33",1,"control",1,0,0.457668307120912,TRUE,1,1.29359819437377,1
"34",1,"control",1,0,3.8890841063112,TRUE,1,1.55638898676261,1
"35",1,"control",1,1,3.37128953961655,FALSE,1,1.18918397487141,1
"36",1,"control",1,1,1.39457066194154,FALSE,1,1.68627422337886,1
"37",1,"control",1,0,0.40715921332594,TRUE,1,1.09291880147066,1
"38",1,"control",1,0,0.532989365630783,TRUE,0,1.27773770818021,1
"39",1,"control",1,0,0.344174157478847,TRUE,0,0.586166703607887,1
"40",1,"control",1,0,0.530974264489487,TRUE,1,4.45989117003046,1
"41",1,"control",1,0,0.457973418175243,TRUE,1,1.29424169566482,1
"42",1,"control",1,0,0.476998848142102,TRUE,1,0.896275520441122,1
"43",1,"control",1,0,0.380376312183216,TRUE,0,2.52371193771251,1
"44",1,"control",1,0,0.818236454389989,TRUE,0,0.846258771955036,1
"45",1,"control",1,0,0.446639523142949,TRUE,1,0.978984558023512,1
"46",1,"control",1,0,0.375834480975755,TRUE,1,1.8636734271422,1
"47",1,"control",1,1,0.381804206874222,FALSE,0,1.24466130882502,1
"48",1,"control",1,1,0.480186496395618,FALSE,1,1.26742582628503,1
"49",1,"control",1,0,0.281394997262396,TRUE,1,0.829300694633275,1
"50",1,"control",1,0,0.39798286696896,TRUE,0,0.476563730509952,1
"51",1,"control",1,0,0.411066251806915,TRUE,1,1.83197236002889,1
"52",1,"control",1,0,0.460715685156174,FALSE,0,0.704828457441181,1
"53",1,"control",1,0,0.330810543266125,TRUE,0,1.32446945901029,1
"54",1,"control",1,0,0.353141809231602,TRUE,1,3.25020742497873,1
"55",1,"control",1,1,0.379798747133464,FALSE,1,0.962786614545621,1
"56",1,"control",1,1,0.437868436332792,TRUE,1,2.50725149305072,1
"57",1,"control",1,1,0.638648288906552,FALSE,1,0.707176039461046,1
"58",1,"control",1,1,0.439605796360411,FALSE,1,0.483901324216276,1
"59",1,"control",1,1,0.398960404098034,FALSE,1,0.486187013331801,1
"60",1,"control",1,1,0.38382459548302,FALSE,1,0.798238463583402,1
"61",1,"control",1,1,0.361344350734726,FALSE,1,0.609334303531796,1
"62",1,"control",1,1,0.687527635716833,FALSE,1,0.697952106944285,1
"63",1,"control",1,1,0.5646434687078,FALSE,1,1.41276691143867,1
"64",1,"control",1,1,0.543531713774428,FALSE,1,2.87909444142133,1
"65",1,"control",1,1,0.323884740588255,FALSE,1,1.3741960254265,1
"66",1,"control",1,0,0.47939246124588,TRUE,1,1.10622363281436,1
"67",1,"control",1,0,0.278165672207251,FALSE,1,2.24984944041353,1
"68",1,"control",1,0,0.383893019985408,FALSE,1,0.623463028110564,1
"69",1,"control",1,0,0.305197700858116,TRUE,1,1.27491302078124,1
"70",1,"control",1,0,0.366684260312468,TRUE,1,0.734677086933516,1
"71",1,"control",1,0,0.281258459319361,TRUE,1,1.83763168752193,1
"72",1,"control",2,1,0.478202186059207,FALSE,1,2.01027352304664,1
"73",1,"control",2,0,0.412344234762713,TRUE,1,1.09002351236995,1
"74",1,"control",2,0,0.800030874088407,TRUE,0,1.08616592606995,1
"75",1,"control",2,0,0.607307694386691,TRUE,1,1.32529988349415,1
"76",1,"control",2,0,0.442683654371649,TRUE,1,1.42314628476743,1
"77",1,"control",2,1,0.350316810887307,TRUE,1,2.25592491333373,1
"78",1,"control",2,1,0.332040629000403,FALSE,1,0.845590388984419,1
"79",1,"control",2,1,0.254912852775306,FALSE,1,0.756661876104772,1
"80",1,"control",2,1,0.252946581691504,FALSE,1,0.664434680715203,1
"81",1,"control",2,1,0.340283292112872,FALSE,1,0.781757802586071,1
"82",1,"control",2,1,0.342372727347538,TRUE,1,1.54325646068901,1
"83",1,"control",2,1,0.245572909712791,FALSE,1,1.63534929533489,1
"84",1,"control",2,1,0.66884650522843,FALSE,0,2.159167705453,1
"85",1,"control",2,1,0.390019189100713,FALSE,1,3.91039335913956,1
