"HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common.name","Maximum.longevity.yrs","Body.mass.g","Metabolic.rate","Temperature"
3,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulicaria","Daphnia",0.19,NA,NA,NA
5,"Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","melanogaster","Fruit fly",0.3,NA,NA,NA
6,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","mellifera","Honey bee",8,NA,NA,NA
8,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Cardiocondyla","obscurior","Cardiocondyla obscurior",0.5,NA,NA,NA
9,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","niger","Black garden ant",28,NA,NA,NA
10,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","dentata","Pheidole dentata",0.4,NA,NA,NA
11,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Bicyclus","anynana","Squinting bush brown",0.5,NA,NA,NA
12,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","americanus","American lobster",100,NA,NA,NA
15,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","bombina","Firebelly toad",20,NA,NA,NA
16,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","orientalis","Oriental firebelly toad",15.8,NA,NA,NA
17,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","variegata","Yellow-bellied toad",29,NA,NA,NA
18,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","americanus","American toad",36,21.6,0.00829,288
19,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","boreas","Western toad",11.5,NA,NA,NA
20,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","canorus","Yosemite toad",15,NA,NA,NA
21,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","cognatus","Great plains toad",10.7,NA,NA,NA
22,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","debilis","Green toad",12.4,NA,NA,NA
23,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","hemiophrys","Canadian toad",13.3,NA,NA,NA
24,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","punctatus","Red-spotted toad",11.3,NA,NA,NA
25,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","retiformis","Sonoran green toad",15.3,NA,NA,NA
26,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","terrestris","Southern toad",10,19.2,0.00698,288
27,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Atelopus","varius","Veragoa stubfoot toad",10,NA,NA,NA
28,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","bufo","Common European toad",40,NA,NA,NA
29,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Incilius","alvarius","Colorado river toad",15.4,NA,NA,NA
30,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Nectophrynoides","asperginis","Kihansi spray toad",5,NA,NA,NA
31,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Peltophryne","lemur","Ridge-headed toad",10.7,NA,NA,NA
32,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Peltophryne","peltocephala","Cuban toad",20,NA,NA,NA
33,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","viridis","European green toad",11.9,NA,NA,NA
34,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhaebo","blombergi","Colombian giant toad",28.7,NA,NA,NA
35,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","arenarum","Argentine toad",NA,NA,NA,NA
36,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","marina","Cane toad",24.8,105,0.0303,293
37,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","schneideri","Eurura toad",15.1,NA,NA,NA
38,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","aurita","Common horned frog",12.8,NA,NA,NA
39,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","calcarata","Colombian horned frog",15.9,NA,NA,NA
40,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","cornuta","Amazonian horned frog",10.3,NA,NA,NA
41,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","ornata","Ornate horned frog",14.7,NA,NA,NA
42,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus","Green and black dart-poison frog",20.5,NA,NA,NA
43,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","leucomelas","Yellow-banded poison frog",11.5,NA,NA,NA
44,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","tinctorius","Blue poison-dart frog",NA,NA,NA,NA
45,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Oophaga","histrionica","Kokoe-pa poison dart frog",9.1,NA,NA,NA
46,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Oophaga","pumilio","Strawberry poison frog",7.5,NA,NA,NA
47,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Phyllobates","vittatus","Golfo dulce poison-dart frog",NA,NA,NA,NA
48,"Animalia","Chordata","Amphibia","Anura","Dicroglossidae","Hoplobatrachus","occipitalis","African tigrine frog",10.9,NA,NA,NA
49,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","blanchardi","Blanchard's cricket frog",NA,NA,NA,NA
50,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","crepitans","Northern cricket frog",4.9,NA,NA,NA
51,"Animalia","Chordata","Amphibia","Anura","Hylidae","Agalychnis","callidryas","Red-eyed tree frog",NA,NA,NA,NA
52,"Animalia","Chordata","Amphibia","Anura","Hylidae","Agalychnis","spurrelli","Maroon-eyed tree frog",5.5,NA,NA,NA
53,"Animalia","Chordata","Amphibia","Anura","Hylidae","Diaglena","spatulata","Treefrog",12.8,NA,NA,NA
54,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","arborea","European tree frog",22,NA,NA,NA
55,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","chrysoscelis","Cope's gray treefrog",7.8,NA,NA,NA
56,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","cinerea","Green treefrog",NA,NA,NA,NA
57,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","gratiosa","Barking treefrog",12.5,NA,NA,NA
58,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","japonica","Japanese treefrog",8.9,NA,NA,NA
59,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","squirella","Squirrel treefrog",8.5,NA,NA,NA
60,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","versicolor","Gray treefrog",7.8,6.97,0.00433,290.5
61,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hypsiboas","rosenbergi","Rosenberg's treefrog",NA,NA,NA,NA
62,"Animalia","Chordata","Amphibia","Anura","Hylidae","Litoria","caerulea","Australian green treefrog",20,NA,NA,NA
63,"Animalia","Chordata","Amphibia","Anura","Hylidae","Osteopilus","septentrionalis","Cuban treefrog",12.9,NA,NA,NA
64,"Animalia","Chordata","Amphibia","Anura","Hylidae","Osteopilus","vastus","Hispaniola giant treefrog",6.6,NA,NA,NA
65,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pachymedusa","dacnicolor","Mexican leaf frog",8.7,NA,NA,NA
66,"Animalia","Chordata","Amphibia","Anura","Hylidae","Phyllomedusa","bicolor","Waxy treefrog",10.3,NA,NA,NA
67,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","crucifer","Spring peeper",NA,0.9,0.00105,292
68,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudis","paradoxa","Paradox frog",11,NA,NA,NA
69,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","baudinii","Mexican treefrog",6.3,NA,NA,NA
70,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","fodiens","Lowland burrowing treefrog",5.1,NA,NA,NA
71,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","phaeota","Masked treefrog",4.1,NA,NA,NA
72,"Animalia","Chordata","Amphibia","Anura","Hylidae","Trachycephalus","venulosus","Marbled treefrog",10.5,NA,NA,NA
73,"Animalia","Chordata","Amphibia","Anura","Leiopelmatidae","Ascaphus","truei","Coastal tailed frog",14,NA,NA,NA
74,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus","pentadactylus","Tungara frog",18.8,NA,NA,NA
75,"Animalia","Chordata","Amphibia","Anura","Mantellidae","Mantella","aurantiaca","Golden mantella",10.9,NA,NA,NA
76,"Animalia","Chordata","Amphibia","Anura","Mantellidae","Mantella","expectata","Blue-legged mantella",3,NA,NA,NA
77,"Animalia","Chordata","Amphibia","Anura","Microhylidae","Gastrophryne","carolinensis","Eastern narrow-mouthed toad",6.8,NA,NA,NA
78,"Animalia","Chordata","Amphibia","Anura","Microhylidae","Kaloula","pulchra","Malaysian narrowmouth toad",11,NA,NA,NA
79,"Animalia","Chordata","Amphibia","Anura","Microhylidae","Microhyla","ornata","Ornate narrow-mouthed frog",5,NA,NA,NA
80,"Animalia","Chordata","Amphibia","Anura","Microhylidae","Phrynomantis","bifasciatus","Red-banded frog",10.3,NA,NA,NA
81,"Animalia","Chordata","Amphibia","Anura","Microhylidae","Scaphiophryne","gottlebei","Rainbow frog",2,NA,NA,NA
82,"Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","fuscus","Common Eurasian spadefoot toad",11,NA,NA,NA
83,"Animalia","Chordata","Amphibia","Anura","Petropedetidae","Conraua","goliath","Goliath frog",5.9,NA,NA,NA
84,"Animalia","Chordata","Amphibia","Anura","Pipidae","Pipa","pipa","Surinam toad",7.7,NA,NA,NA
85,"Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","laevis","African clawed frog",30.3,63.6,0.012,288
86,"Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Pyxicephalus","adspersus","African bullfrog",45,NA,NA,NA
87,"Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Tomopterna","delalandii","Cape sand frog",11.3,NA,NA,NA
88,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","catesbeianus","American bullfrog",16,51.2,0.0134,288
89,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","clamitans","Green frog",10,NA,NA,NA
90,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","pipiens","Northern leopard frog",9,21.6,0.00576,289.78
91,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","septentrionalis","Mink frog",6,NA,NA,NA
92,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","sylvaticus","Wood frog",5,7.8,0.00416,289.8
93,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","virgatipes","Carpenter frog",6.2,NA,NA,NA
94,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","lessonae","Pool frog",6,NA,NA,NA
95,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","nigromaculatus","Black-spotted frog",15,NA,NA,NA
96,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","perezi","Italian green frog",6.8,NA,NA,NA
97,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","ridibundus","Marsh frog",11,NA,NA,NA
98,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","amurensis","Siberian wood frog",9,NA,NA,NA
99,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","arvalis","Moor frog",11,NA,NA,NA
100,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","aurora","California red-legged frog",15,NA,NA,NA
101,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","esculenta","Edible frog",12,NA,NA,NA
102,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","iberica","Iberian frog",8,NA,NA,NA
103,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","macrocnemis","Long-legged wood frog",5,NA,NA,NA
104,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","temporaria","European frog",27,NA,NA,NA
105,"Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Scaphiopus","couchii","Couch's spadefoot",6.7,NA,NA,NA
106,"Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Scaphiopus","holbrookii","Eastern spadefoot",12.3,NA,NA,NA
107,"Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Spea","intermontana","Great Basin spadefoot",20,NA,NA,NA
108,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile","Northwestern salamander",10.2,NA,NA,NA
109,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","mabeei","Mabee's salamander",8.8,NA,NA,NA
110,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum","Long-toed salamander",10,NA,NA,NA
111,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","maculatum","Spotted salamander",32,12.8,0.005,290
112,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","mexicanum","Axolotl",17,NA,NA,NA
113,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","opacum","Marbled salamander",11.3,NA,NA,NA
114,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","rosaceum","Chihuahuan mole salamander",14.4,NA,NA,NA
115,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","talpoideum","Mole salamander",9,NA,NA,NA
116,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","texanum","Small-mouthed salamander",13.8,NA,NA,NA
117,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum","Tiger salamander",25,3.21,0.00196,291
118,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Dicamptodon","ensatus","California giant salamander",16.9,NA,NA,NA
119,"Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","means","Two-toed amphiuma",27,199,0.00904,288
120,"Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","tridactylum","Three-toed amphiuma",15.9,NA,NA,NA
121,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Andrias","davidianus","Chinese giant salamander",19.9,NA,NA,NA
122,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Andrias","japonicus","Japanese giant salamander",55,NA,NA,NA
123,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Cryptobranchus","alleganiensis","Hellbender",29,358,0.0253,288
124,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Hynobius","boulengeri","Boulenger's oriental salamander",11.9,NA,NA,NA
125,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Hynobius","leechii","Chinese salamander",7.1,NA,NA,NA
126,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Hynobius","nebulosus","Clouded salamander",14.2,NA,NA,NA
127,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Hynobius","retardatus","Japanese salamander",12.9,NA,NA,NA
128,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Onychodactylus","fischeri","Long-tailed clawed salamander",17,NA,NA,NA
129,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Onychodactylus","japonicus","Japanese clawed salamander",14.2,NA,NA,NA
130,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Paradactylodon","mustersi","Afghanistan salamander",11,NA,NA,NA
131,"Animalia","Chordata","Amphibia","Caudata","Hynobiidae","Salamandrella","keyserlingii","Siberian salamander",8,NA,NA,NA
132,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","aeneus","Green salamander",NA,NA,NA,NA
133,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","lugubris","Arboreal salamander",NA,NA,NA,NA
134,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Bolitoglossa","dofleini","Giant palm salamander",6.9,NA,NA,NA
135,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Bolitoglossa","mexicana","Palm salamander",12.2,NA,NA,NA
136,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","monticola","Seal salamander",17.7,NA,NA,NA
137,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","ochrophaeus","Allegheny mountain dusky salamander",19.8,NA,NA,NA
138,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","quadramaculatus","Black-bellied salamander",15,14.1,0.00411,288
139,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","welteri","Black mountain salamander",20,NA,NA,NA
140,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Ensatina","eschscholtzii","Ensatina",NA,NA,NA,NA
141,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","lucifuga","Cave salamander",9.1,NA,NA,NA
142,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","rathbuni","Texas blind salamander",10.3,NA,NA,NA
143,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","spelaea","Grotto salamander",9.9,NA,NA,NA
144,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","wilderae","Blue ridge two-lined salamander",8,NA,NA,NA
145,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Gyrinophilus","palleucus","Tennessee cave salamander",18.5,NA,NA,NA
146,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Gyrinophilus","porphyriticus","Spring salamander",18.5,NA,NA,NA
147,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Hemidactylium","scutatum","Four-toed salamander",8.9,NA,NA,NA
148,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Phaeognathus","hubrichti","Red Hills salamander",19.7,NA,NA,NA
149,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","cinereus","Eastern red-backed salamander",25,0.76,9.9e-05,278.5
150,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","dunni","Dunn's salamander",11,NA,NA,NA
151,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","elongatus","Del Norte salamander",13.3,NA,NA,NA
152,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","glutinosus","Northern slimy salamander",20.1,4.2,0.00191,288
153,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","jordani","Red-cheeked salamander",19.8,NA,NA,NA
154,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","vehiculum","Western red-backed salamander",11.1,NA,NA,NA
155,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","yonahlossee","Yonahlossee salamander",NA,NA,NA,NA
156,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Pseudotriton","montanus","Mud salamander",15.1,NA,NA,NA
157,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Pseudotriton","ruber","Red salamander",20.1,NA,NA,NA
158,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","italicus","Italian cave salamander",10.6,NA,NA,NA
159,"Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","maculosus","Mudpuppy",34,NA,NA,NA
160,"Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","punctatus","Dwarf waterdog",NA,NA,NA,NA
161,"Animalia","Chordata","Amphibia","Caudata","Proteidae","Proteus","anguinus","Olm",102,NA,NA,NA
162,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Calotriton","asper","Pyrenean brook newt",26,NA,NA,NA
163,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Cynops","ensicauda","Brown newt",17.9,NA,NA,NA
164,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Cynops","pyrrhogaster","Japanese firebelly newt",25,NA,NA,NA
165,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Ichthyosaura","alpestris","Laureutis alpine salamander",15,NA,NA,NA
166,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","boscai","Bosca's newt",8,NA,NA,NA
167,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","vulgaris","Smooth newt",20,NA,NA,NA
168,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","perstriatus","Striped newt",12.9,NA,NA,NA
169,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","viridescens","Eastern newt",25,NA,NA,NA
170,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Pachytriton","brevipes","Tsitou newt",6.5,NA,NA,NA
171,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Paramesotriton","chinensis","Asian newt",10.3,NA,NA,NA
172,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles","poireti","Algerian newt",14,NA,NA,NA
173,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles","waltl","Iberian ribbed newt",19.5,NA,NA,NA
174,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","atra","Golden alpine salamander",17,NA,NA,NA
175,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","salamandra","European fire salamander",24,19.1,0.00857,288
176,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha","granulosa","Rough-skinned newt",NA,12.2,0.00518,288
177,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha","rivularis","Red-bellied newt",NA,NA,NA,NA
178,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha","torosa","California newt",21.8,NA,NA,NA
179,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","carnifex","Italian crested newt",11,NA,NA,NA
180,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","cristatus","Northern crested newt",28,NA,NA,NA
181,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","marmoratus","Marbled newt",25,NA,NA,NA
182,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Tylototriton","verrucosus","Mandarin salamander",11,NA,NA,NA
183,"Animalia","Chordata","Amphibia","Caudata","Sirenidae","Siren","intermedia","Lesser siren",25.7,NA,NA,NA
184,"Animalia","Chordata","Amphibia","Caudata","Sirenidae","Siren","lacertina","Greater siren",25,NA,NA,NA
185,"Animalia","Chordata","Amphibia","Gymnophiona","Caeciliidae","Dermophis","mexicanus","Mexican burrowing caecilian",13.8,NA,NA,NA
186,"Animalia","Chordata","Amphibia","Gymnophiona","Caeciliidae","Typhlonectes","compressicauda","Cayenne caecilian",4.9,NA,NA,NA
187,"Animalia","Chordata","Amphibia","Gymnophiona","Caeciliidae","Typhlonectes","natans","Aquatic caecilian",NA,NA,NA,NA
188,"Animalia","Chordata","Amphibia","Gymnophiona","Ichthyophiidae","Ichthyophis","kohtaoensis","Yellow-striped caecilian",7.3,NA,NA,NA
190,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","cooperii","Cooper's hawk",20.3,NA,NA,NA
191,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","gentilis","Northern goshawk",22,NA,NA,NA
192,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","nisus","Eurasian sparrowhawk",20.2,135,0.9516,NA
193,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus","Sharp-shinned hawk",19.9,NA,NA,NA
194,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","monachus","Cinereous vulture",39,NA,NA,NA
195,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","adalberti","Spanish imperial eagle",44.5,NA,NA,NA
196,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","audax","Wedge-tailed eagle",40,NA,NA,NA
197,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","chrysaetos","Golden eagle",48,3000,4.9929,NA
198,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","fasciata","Bonelli's eagle",20,NA,NA,NA
199,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","heliaca","Eastern imperical eagle",56,NA,NA,NA
200,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","nipalensis","Steppe eagle",41,NA,NA,NA
201,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","pomarina","Lesser spotted eagle",26.1,NA,NA,NA
202,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","rapax","Tawny eagle",40.3,NA,NA,NA
203,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Butastur","indicus","Grey-faced buzzard",8.5,NA,NA,NA
204,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","buteo","Buzzard",28.8,NA,NA,NA
205,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","jamaicensis","Red-tailed hawk",30.7,NA,NA,NA
206,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","lagopus","Rough-legged hawk",18.8,NA,NA,NA
207,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","lineatus","Red-shouldered hawk",22.4,658,2.11,NA
208,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","platypterus","Broad-winged hawk",18.3,NA,NA,NA
209,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","regalis","Ferruginous hawk",23.7,NA,NA,NA
210,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","rufinus","Long-legged buzzard",NA,NA,NA,NA
211,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","solitarius","Hawaiian hawk",17,NA,NA,NA
212,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","swainsoni","Swainson's hawk",24.9,NA,NA,NA
213,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteogallus","anthracinus","Common black hawk",13.5,NA,NA,NA
214,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circaetus","cinereus","Brown snake eagle",NA,NA,NA,NA
215,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circaetus","gallicus","Short-toed eagle",17.3,NA,NA,NA
216,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","aeruginosus","Swamp harrier",20.1,NA,NA,NA
217,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","cyaneus","Northern harrier",17.1,NA,NA,NA
218,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","macrourus","Pallid harrier",13.5,NA,NA,NA
219,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","pygargus","Montagu's harrier",16.3,NA,NA,NA
220,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","caeruleus","Black-winged kite",6,NA,NA,NA
221,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","leucurus","White-tailed kite",6,NA,NA,NA
222,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Geranoaetus","melanoleucus","Black-chested buzzard-eagle",42,2860,5.1887,NA
223,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Gypaetus","barbatus","Bearded vulture",40,NA,NA,NA
224,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Gypohierax","angolensis","Palm-nut vulture",27.1,NA,NA,NA
