Species,Family,Heterozygosity,Allelic richness,Breeding range size,Body mass,Latitude,Migratory status,References
Anthornis melanura,Passeriformes,0.571,4.17,38.6297,27,41.86,Resident,Paterson et al. 2010; Willoughby et al. 2015
Anthus spragueii,Passeriformes,0.78,9.2,311.9156,26,46.14,Migratory,Hughes 2010; Willoughby et al. 2015
Aphelocoma coerulescens,Passeriformes,0.59,5.97,8.3429,77,28.09,Resident,Stenzler and Fitzpatrick 2002; Willoughby et al. 2015
Aphelocoma insularis,Passeriformes,0.647,6.7,0.0369,116,34.02,Resident,Evans and Sheldon 2008; Delaney and Wayne 2005
Aphelocoma ultramarina,Passeriformes,0.908,15.33,9.9195,113,19.81,Resident,Evans and Sheldon 2008; Li et al. 1997
Atrichornis clamosus,Passeriformes,0.523,3.33,0.024,42,34.31,Resident,Cowen et al. 2013; Willoughby et al. 2015
Bucanetes githagineus,Passeriformes,0.761,3.01,924.99,20,30.26,Resident,Barrientos et al. 2014; Willoughby et al. 2015
Buphagus erythrorhynchus,Passeriformes,0.781,8.3,303.4482,51,4.83,Resident,Spies et al. 2012; Willoughby et al. 2015
Calocitta formosa,Passeriformes,0.752,9,31.6745,210,13.6,Resident,Evans and Sheldon 2008; Williams et al. 2004
Carduelis tristis,Passeriformes,0.887,23.38,1551.7015,13,37.15,Migratory,Hughes 2010; Willoughby et al. 2015
Carpodacus mexicanus,Passeriformes,0.877,16.24,1192.1211,21,37.72,Resident,Hughes 2010; Oh and Badyaev 2009
Catharus bicknelli,Passeriformes,0.757,10.8,8.4714,28,26.01,Migratory,Evans and Sheldon 2008; Goetz et al. 2003
Catharus ustulatus,Passeriformes,0.83,11.33,2371.9724,30,23.52,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Certhidea olivacea,Passeriformes,0.37,7.1,0.7802,10,0.55,Resident,Petren et al. 2005; Willoughby et al. 2015
Cettia diphone,Passeriformes,0.658,10,331.0564,13,29.44,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Chasiempis sandwichensis,Passeriformes,0.613,7.69,1.0622,14,19.6,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Chersophilus duponti,Passeriformes,0.601,6.21,42.4641,39,34.51,Resident,Hughes 2010; Willoughby et al. 2015
Chiroxiphia caudata,Passeriformes,0.821,11,174.0261,26,23.46,Resident,Evans and Sheldon 2008; Francisco et al. 2004
Chiroxiphia lanceolata,Passeriformes,0.663,8.27,42.5033,19,8.42,Resident,Hughes 2010; Duval et al. 2007
Cinclus cinclus,Passeriformes,0.699,12.39,2071.521,62,52.41,Migratory,Hughes 2010; Willoughby et al. 2015
Climacteris picumnus,Passeriformes,0.605,8.88,298.915,29,28.79,Resident,Evans and Sheldon 2008; Doerr 2005
Coracina newtoni,Passeriformes,0.492,3.61,0.0618,68,21.05,Resident,Salmona et al. 2010; Willoughby et al. 2015
Corapipo altera,Passeriformes,0.717,10.13,18.4159,12,7.93,Resident,Hughes 2010; Willoughby et al. 2015
Corcorax melanorhamphos,Passeriformes,0.707,8.67,267.9417,364,30.38,Resident,Evans and Sheldon 2008; Beck et al. 2003
Corvus brachyrhynchos,Passeriformes,0.8,12.09,2510.2074,449,42.95,Migratory,Schoenle et al. 2007; Willoughby et al. 2015
Corvus corax,Passeriformes,0.68,11.5,18486.807,928,55.94,Resident,Fleischer et al. 2008; Willoughby et al. 2015
Corvus corone,Passeriformes,0.641,6.75,10065.315,570,46.22,Migratory,Hughes 2010; Willoughby et al. 2015
Corvus kubaryi,Passeriformes,0.163,1.78,0.023,250,13.87,Resident,Tarr and Fleischer 1999; Willoughby et al. 2015
Cyanocitta stelleri,Passeriformes,0.68,6.2,656.9134,128,41.37,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Cyanocompsa brissonii,Passeriformes,0.811,12,673.4162,28,19.44,Resident,Ferreira et al. 2014
Cyanocorax morio,Passeriformes,0.801,9.14,74.9344,243,17.86,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Cyphorhinus phaeocephalus,Passeriformes,0.745,7.5,29.9079,25,6.82,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Dasyornis brachypterus,Passeriformes,0.799,8.3,4.4879,42,33.61,Resident,Perrin and Roberts 2010; Willoughby et al. 2015
Dendroica caerulescens,Passeriformes,0.832,20.6,228.9573,10,29.01,Migratory,Hughes 2010; Willoughby et al. 2015
Dendroica cerulea,Passeriformes,0.77,14,139.6955,9,23.17,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Dendroica chrysoparia,Passeriformes,0.75,7.94,2.6502,10,22.74,Migratory,Hughes 2010; Lindsay et al. 2008
Dendroica kirtlandii,Passeriformes,0.735,6.48,2.8463,14,34.42,Migratory,King et al. 2005; Willoughby et al. 2015
Dendroica petechia,Passeriformes,0.71,14.67,4300.4637,10,20.78,Migratory,Gibbs et al. 2000; Willoughby et al. 2015
Dendroica plumbea,Passeriformes,0.67,5.43,0.2592,10,15.95,Resident,Khimoun et al. 2016
Diglossa cyanea,Passeriformes,0.889,12.64,40.1042,17,2.98,Resident,Bardeleben and Gray 2005c; Willoughby et al. 2015
Drymodes brunneopygia,Passeriformes,0.666,6.7,129.2277,33,32.61,Resident,Scoble et al. 2012; Willoughby et al. 2015
Elaenia martinica,Passeriformes,0.51,3.17,2.9978,21,16.32,Resident,Khimoun et al. 2016
Elaenia ruficeps,Passeriformes,0.668,8.82,69.721,19,3.79,Resident,Ritter et al. 2014
Emberiza aureola,Passeriformes,0.724,6.87,12103.372,20,39.32,Migratory,Yu et al. 2011; Willoughby et al. 2015
Emberiza citrinella,Passeriformes,0.54,9.67,4346.8426,30,29.03,Migratory,Hughes 2010; Wonke et al. 2007
Empidonax minimus,Passeriformes,0.87,12.6,1532.3861,10,31.8,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Epthianura albifrons,Passeriformes,0.801,18.61,370.4347,13,31.77,Resident,King et al. 2012; Willoughby et al. 2015
Ficedula albicollis,Passeriformes,0.873,23.62,600.3106,13,17.91,Migratory,Krist and Munclinger 2011; Willoughby et al. 2015
Ficedula hypoleuca,Passeriformes,0.8,13.52,2660.7106,14,28.29,Migratory,Leder et al. 2008; Willoughby et al. 2015
Fringilla coelebs,Passeriformes,0.651,9.7,3940.6046,24,18.02,Migratory,Suarez et al. 2009a; Willoughby et al. 2015
Fringilla teydea,Passeriformes,0.791,7.89,0.0568,30,28.21,Resident,Suarez et al. 2009b; Willoughby et al. 2015
Galerida theklae,Passeriformes,0.569,4.83,274.6245,38,27.92,Resident,Mendez et al. 2011; Willoughby et al. 2015
Garrulax canorus,Passeriformes,0.88,15.5,232.4925,63,26.91,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Garrulax morrisonianus,Passeriformes,0.557,6.8,1.5718,73,23.82,Resident,Hughes 2010; Willoughby et al. 2015
Geospiza fortis,Passeriformes,0.71,4.69,0.7701,24,0.55,Resident,Evans and Sheldon 2008; Grant et al. 2004
Geospiza scandens,Passeriformes,0.67,7.1,0.7112,23,0.69,Resident,Petren et al. 2005; Willoughby et al. 2015
Gymnorhina tibicen,Passeriformes,0.731,10.38,881.8292,285,33.44,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Gymnorhinus cyanocephalus,Passeriformes,0.755,17.88,213.5349,105,39.05,Resident,Hughes 2010; Willoughby et al. 2015
Hemignathus virens,Passeriformes,0.829,12.8,0.7138,14,20.34,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Hemixos castanonotus,Passeriformes,0.593,6.5,117.8517,38,24.22,Migratory,Hughes 2010; Willoughby et al. 2015
Henicorhina leucophrys,Passeriformes,0.836,11.75,74.6409,16,9.73,Resident,Bowie et al. 2012; Willoughby et al. 2015
Heteromyias albispecularis,Passeriformes,0.718,5,12.4518,36,5.07,Resident,Bardeleben et al. 2005a; Willoughby et al. 2015
Himatione sanguinea,Passeriformes,0.636,8.4,1.8747,15,23,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Hirundo rustica,Passeriformes,0.8,21.14,12359.123,18,15.78,Migratory,Dor et al. 2012; Willoughby et al. 2015
Junco hyemalis,Passeriformes,0.676,9.8,3111.4513,20,38.17,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Lagonosticta sanguinodorsalis,Passeriformes,0.58,6.5,1.1178,11,9.72,Resident,Abalaka et al. 2015
Lanius ludovicianus,Passeriformes,0.483,4,1467.1125,52,31.78,Migratory,Eggert et al. 2004; Willoughby et al. 2015
Limnothlypis swainsonii,Passeriformes,0.746,6,163.9022,19,22.49,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Liocichla steerii,Passeriformes,0.801,9.14,1.7231,31,23.84,Resident,Yeung et al. 2004; Willoughby et al. 2015
Locustella pryeri,Passeriformes,0.474,3.6,112.7782,14,39.3,Migratory,Ishibashi et al. 2000; Willoughby et al. 2015
Lonchura leucogastroides,Passeriformes,0.489,3.57,20.154,12,2.55,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Luscinia svecica,Passeriformes,0.761,18,7565.4733,17,47.11,Migratory,Hughes 2010; Johnsen et al. 2006
Malurus cyaneus,Passeriformes,0.918,27.4,175.3574,10,32.39,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Malurus splendens,Passeriformes,0.815,13.8,350.1081,9,28.18,Resident,Evans and Sheldon 2008; Webster et al. 2004
Manacus manacus,Passeriformes,0.72,14.88,770.5413,17,4.83,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Manorina melanophrys,Passeriformes,0.612,7.2,45.2722,30,32.98,Resident,Painter et al. 1997; Willoughby et al. 2015
Margarops fuscus,Passeriformes,0.46,3.21,0.6614,67,15.91,Resident,Khimoun et al. 2016
Melospiza melodia,Passeriformes,0.633,9.5,2402.9553,22,42.72,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Mimus macdonaldi,Passeriformes,0.389,2.93,0.0067,70,1.38,Resident,Hoeck et al. 2009; Willoughby et al. 2015
Mimus melanotis,Passeriformes,0.431,3.95,0.055,51,0.83,Resident,Hoeck et al. 2009; Willoughby et al. 2015
Mimus parvulus,Passeriformes,0.546,5.09,0.6938,54,0.5,Resident,Hoeck et al. 2009; Willoughby et al. 2015
Mimus polyglottos,Passeriformes,0.766,10.6,1669.3555,49,22.94,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Mimus trifasciatus,Passeriformes,0.45,2.69,0.0174,63,1.28,Resident,Hoeck et al. 2009; Willoughby et al. 2015
Mionectes striaticollis,Passeriformes,0.775,7.55,32.6932,15,6.36,Resident,Bardeleben and Gray 2005a; Willoughby et al. 2015
Modulatrix stictigula,Passeriformes,0.855,8.7,7.2086,31,7.61,Resident,Sellas et al. 2008; Willoughby et al. 2015
Mohoua ochrocephala,Passeriformes,0.411,2.7,5.8961,28,45.33,Resident,Grueber et al. 2015
Molothrus ater,Passeriformes,0.815,18.5,2111.3994,40,31.82,Migratory,Evans and Sheldon 2008; Strausberger and Ashley 2003
Myrmeciza exsul,Passeriformes,0.666,7.6,36.5913,27,11.18,Resident,Hughes 2010; Barnett et al. 2007
Myzomela cardinalis,Passeriformes,0.785,11.67,2.3954,14,15.14,Resident,Thomassen et al. 2010; Willoughby et al. 2015
Neothraupis fasciata,Passeriformes,0.54,4.63,243.6795,27,16.05,Resident,Correa et al. 2010; Willoughby et al. 2015
Notiomystis cincta,Passeriformes,0.652,5.15,0.0099,93,36.9,Resident,Hughes 2010; Willoughby et al. 2015
Nucifraga columbiana,Passeriformes,0.809,9.15,437.896,130,36.6,Resident,Oyler-McCance et al. 2013; Willoughby et al. 2015
Oenanthe oenanthe,Passeriformes,0.635,8.8,11992.314,25,36.33,Migratory,Hughes 2010; Willoughby et al. 2015
Orthonyx temminckii,Passeriformes,0.663,12.8,22.2917,58,30.13,Resident,Hughes 2010; Willoughby et al. 2015
Pachycephala pectoralis,Passeriformes,0.85,15.17,288.6606,30,29.1,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Paradoxornis heudei,Passeriformes,0.773,9.27,92.3092,21,44.99,Resident,Hughes 2010; Chang et al. 2009b
Paradoxornis webbianus,Passeriformes,0.756,7.91,583.1481,11,34.37,Resident,Qu et al. 2012; Willoughby et al. 2015
Paroaria dominicana,Passeriformes,0.768,8,124.9072,33,9.17,Resident,Ferreira et al. 2014
Parus major,Passeriformes,0.735,9.56,7371.1348,16,45.27,Resident,Evans and Sheldon 2008; Saladin et al. 2003
Parus monticolus,Passeriformes,0.767,9.33,222.0759,14,29.19,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Parus rufescens,Passeriformes,0.68,9.14,236.102,9,49.83,Resident,Burg et al. 2006; Willoughby et al. 2015
Passer domesticus,Passeriformes,0.598,6,13009.381,27,2.47,Resident,Hughes 2010; Garnier et al. 2009
Passer montanus,Passeriformes,0.649,8.11,9308.5711,21,30.58,Resident,Hughes 2010; Willoughby et al. 2015
Perisoreus infaustus,Passeriformes,0.56,12.33,4485.5623,84,60.09,Resident,Hughes 2010; Jaari et al. 2008
Petroica australis,Passeriformes,0.437,3,14.1693,31,41.1,Resident,Townsend et al. 2012; Willoughby et al. 2015
Petroica goodenovii,Passeriformes,0.536,7.78,830.159,9,26.88,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Petronia petronia,Passeriformes,0.697,6.64,1671.5991,30,37.79,Resident,Hughes 2010; Willoughby et al. 2015
Phaenostictus mcleannani,Passeriformes,0.516,25,26.241,51,8.99,Resident,Chaves-Campos and DeWoody 2008; Willoughby et al. 2015
Philesturnus carunculatus,Passeriformes,0.532,6.5,0.0192,75,43.24,Resident,Taylor et al. 2007; Willoughby et al. 2015
Phylidonyris novaehollandiae,Passeriformes,0.792,10.39,126.9667,20,34.87,Resident,Myers et al. 2009; Willoughby et al. 2015
Phyllastrephus cabanisi,Passeriformes,0.61,6,204.5762,34,7.87,Resident,Callens et al. 2011; Willoughby et al. 2015
Phylloscopus trochilus,Passeriformes,0.663,14.8,6846.1088,9,28.06,Migratory,Hughes 2010; Bensch et al. 2009
Pica nuttalli,Passeriformes,0.537,3.9,13.1953,158,37.35,Resident,Ernest et al. 2008; Willoughby et al. 2015
Pica pica,Passeriformes,0.772,10.1,8088.1568,218,40.74,Resident,Hughes 2010; Willoughby et al. 2015
Pipra filicauda,Passeriformes,0.749,15.86,262.9642,15,0.65,Resident,Ryder et al. 2009; Willoughby et al. 2015
Pogonocichla stellata,Passeriformes,0.685,11.6,171.4854,19,12.75,Resident,Evans and Sheldon 2008; Galbusera et al. 2004
Pomarea dimidiata,Passeriformes,0.634,4,0.008,23,21.23,Resident,Hughes 2010; Willoughby et al. 2015
Pomatostomus ruficeps,Passeriformes,0.836,10.4,145.7403,58,30.72,Resident,Hughes 2010; Holleley et al. 2009
Pomatostomus temporalis,Passeriformes,0.845,9.89,445.2913,75,22.2,Resident,Kawano et al. 2007; Willoughby et al. 2015
Procnias tricarunculatus,Passeriformes,0.426,6.43,2.438,210,10.36,Resident,Saranathan et al. 2007; Willoughby et al. 2015
Progne subis,Passeriformes,0.517,10.1,976.5754,54,7.27,Migratory,Stanley et al. 2011; Willoughby et al. 2015
Promerops cafer,Passeriformes,0.874,17.83,16.4026,35,33.39,Resident,Feldheim et al. 2006; Willoughby et al. 2015
Promerops gurneyi,Passeriformes,0.907,9.5,13.1212,35,27.01,Resident,Feldheim et al. 2006; Willoughby et al. 2015
Prosthemadera novaeseelandiae,Passeriformes,0.677,7.79,20.9628,106,39.07,Resident,Wells et al. 2013; Willoughby et al. 2015
Prunella collaris,Passeriformes,0.372,2.78,2047.5067,39,40.11,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Pseudonigrita arnaudi,Passeriformes,0.739,11.89,47.6278,20,0.97,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Ptilonorhynchus violaceus,Passeriformes,0.728,10.08,71.8311,219,30.82,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Pyrenestes ostrinus,Passeriformes,0.835,15.8,477.2687,22,0.36,Resident,Delaney et al. 2005; Willoughby et al. 2015
Pyrrhocorax pyrrhocorax,Passeriformes,0.443,8.75,2364.7119,277,40.43,Resident,Wenzel et al. 2011; Willoughby et al. 2015
Quelea quelea,Passeriformes,0.859,15.83,1139.8908,20,6.08,Resident,Dallimer et al. 2002; Willoughby et al. 2015
Ramphocelus bresilius,Passeriformes,0.48,4.32,41.8989,33,17.58,Resident,Nogueira et al. 2014
Ramphocelus costaricensis,Passeriformes,0.834,13.86,1.8272,31,8.93,Resident,Krueger and Williams 2006; Willoughby et al. 2015
Ramphocelus passerinii,Passeriformes,0.834,13.86,22.2013,32,14.62,Resident,Krueger and Williams 2006; Willoughby et al. 2015
Ramphocinclus brachyurus,Passeriformes,0.59,4.67,0.1475,50,14.52,Resident,Hughes 2010; Willoughby et al. 2015
Remiz pendulinus,Passeriformes,0.712,5.22,1442.5685,9,41.65,Migratory,Meszaros et al. 2008; Willoughby et al. 2015
Rhipidura fuliginosa,Passeriformes,0.904,14,211.0872,8,29.6,Migratory,Jin et al. 2006; Willoughby et al. 2015
Riparia riparia,Passeriformes,0.769,11.7,11815.322,13,17.44,Migratory,Hughes 2010; van Dongen et al. 2010
Saltator albicollis,Passeriformes,0.32,2.51,0.4288,41,15.27,Resident,Khimoun et al. 2016
Sayornis phoebe,Passeriformes,0.776,11.2,1437.416,20,33.73,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Schetba rufa,Passeriformes,0.794,10,45.6123,37,18.71,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Sericornis magnirostra,Passeriformes,0.79,7,35.5462,10,28.58,Resident,Bardeleben et al. 2005b; Willoughby et al. 2015
Sialia sialis,Passeriformes,0.696,6.6,909.7642,28,31.77,Migratory,Hughes 2010; Faircloth et al. 2006
Sitta pusilla,Passeriformes,0.832,14.92,132.3945,10,29.59,Resident,Hughes 2010; Willoughby et al. 2015
Spizella wortheni,Passeriformes,0.69,11.56,7.1597,12,27.49,Resident,Hughes 2010; Willoughby et al. 2015
Struthidea cinerea,Passeriformes,0.78,6.33,312.4173,132,25.83,Resident,Hughes 2010; Willoughby et al. 2015
Sturnus unicolor,Passeriformes,0.7,6.75,135.6136,84,38.59,Resident,Hughes 2010; Willoughby et al. 2015
Sylvia atricapilla,Passeriformes,0.71,8.89,2819.6136,17,30.43,Migratory,Aksoy et al. 2013; Willoughby et al. 2015
Tachycineta albilinea,Passeriformes,0.769,13.8,82.9151,17,13.75,Resident,Hughes 2010; Willoughby et al. 2015
Tachycineta bicolor,Passeriformes,0.856,25.6,3349.8495,21,29.55,Migratory,Hughes 2010; Makerewich et al. 2009
Tachycineta leucorrhoa,Passeriformes,0.852,16.7,604.6165,15,16.9,Migratory,Hughes 2010; Makerewich et al. 2009
Taeniopygia guttata,Passeriformes,0.734,6.77,784.7665,12,25.26,Resident,Dawson et al. 2005a; Willoughby et al. 2015
Tarsiger cyanurus,Passeriformes,0.912,14.33,4148.9566,13,36.98,Migratory,Hughes 2010; Willoughby et al. 2015
Telespiza cantans,Passeriformes,0.414,3.11,0.0004,33,25.77,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Terpsiphone mutata,Passeriformes,0.727,12,66.7998,13,19.36,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Troglodytes troglodytes,Passeriformes,0.708,9.6,5109.554,10,43.15,Migratory,Pruett et al. 2014 
Turdus helleri,Passeriformes,0.62,4,0.019,69,3.59,Resident,Callens et al. 2011; Willoughby et al. 2015
Turdus lherminieri,Passeriformes,0.598,5.08,0.2195,105,15.81,Resident,Arias et al. 2012; Willoughby et al. 2015
Turdus merula,Passeriformes,0.6,5.95,3246.0485,103,15.2,Migratory,Hughes 2010; Willoughby et al. 2015
Urosphena squameiceps,Passeriformes,0.638,10.31,191.9952,9,32.17,Migratory,Kamioki et al. 2013; Willoughby et al. 2015
Vermivora chrysoptera,Passeriformes,0.558,9.7,254.0936,9,27.96,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Vestiaria coccinea,Passeriformes,0.798,11.2,2.2921,18,20.34,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Vidua chalybeata,Passeriformes,0.752,8.18,733.8954,13,1.43,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Vireo altiloquus,Passeriformes,0.58,4.58,27.7265,19,17.15,Migratory,Khimoun et al. 2016
Vireo atricapilla,Passeriformes,0.826,11,62.8472,9,27.86,Migratory,Barr et al. 2007; Willoughby et al. 2015
Wilsonia pusilla,Passeriformes,0.757,8,2796.742,7,38.58,Migratory,Evans and Sheldon 2008; Clegg et al. 2003
Xenicus gilviventris,Passeriformes,0.553,4.54,2.1501,18,43.99,Resident,Weston et al. 2016
Zonotrichia leucophrys,Passeriformes,0.85,11.16,2885.6667,28,46.52,Migratory,Poesel et al. 2009; Willoughby et al. 2015
Zosterops borbonicus,Passeriformes,0.759,7.75,0.505,8,20.77,Resident,Bertrand et al. 2012; Willoughby et al. 2015
Zosterops flavifrons,Passeriformes,0.152,4.2,1.3202,11,16.21,Resident,Hughes 2010; Phillimore et al. 2008
Zosterops lateralis,Passeriformes,0.731,6.83,380.0179,13,22.12,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Zosterops senegalensis,Passeriformes,0.711,5.08,869.9596,11,0.99,Resident,Oatley et al. 2013; Willoughby et al. 2015
