Species,Family,Heterozygosity,Allelic richness,Breeding range size,Body mass,Latitude,Migratory status,References
Branta bernicla,Anseriformes,0.8,11.51,5272.5826,1278,55.45,Migratory,Harrison et al. 2010; Willoughby et al. 2015
Branta canadensis,Anseriformes,0.549,18.5,3891.725,2812,44.15,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Branta sandvicensis,Anseriformes,0.481,3.13,0.764,2044,20.1,Resident,Hughes 2010; Willoughby et al. 2015
Bucephala islandica,Anseriformes,0.685,8.74,766.4302,921,55.48,Migratory,Hughes 2010; Willoughby et al. 2015
Cairina moschata,Anseriformes,0.569,4.27,1515.7141,2416,7.45,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Cygnus buccinator,Anseriformes,0.29,2.25,509.9281,11071,45.51,Migratory,Ransler et al. 2011; Willoughby et al. 2015
Mergus merganser,Anseriformes,0.5,6.89,7956.5606,1451,44.93,Migratory,Gautschi and Koller 2005; Willoughby et al. 2015
Oxyura jamaicensis,Anseriformes,0.507,6.3,1431.396,608,36.37,Migratory,Evans and Sheldon 2008; Munoz-Fuentes et al. 2005
Oxyura leucocephala,Anseriformes,0.321,2.6,940.2385,661,42.76,Migratory,Evans and Sheldon 2008; Munoz-Fuentes et al. 2005
Polysticta stelleri,Anseriformes,0.567,5,1116.3238,807,63.49,Migratory,Evans and Sheldon 2008; Fields and Scribner 1997
Somateria fischeri,Anseriformes,0.484,8,809.3039,1557,65.81,Migratory,Evans and Sheldon 2008; Scribner et al. 2001
Somateria mollissima,Anseriformes,0.646,8.75,2175.245,2061,61.38,Migratory,Evans and Sheldon 2008; Öst et al. 2005
Somateria spectabilis,Anseriformes,0.31,7,4288.7521,1617,64.21,Migratory,Evans and Sheldon 2008; Pearce et al. 2004
Aquila adalberti,Falconiformes,0.549,4.89,21.7241,2958,39.06,Resident,Martinez-Cruz et al. 2004; Willoughby et al. 2015
Aquila audax,Falconiformes,0.333,3,959.1119,3450,25.74,Resident,Burridge et al. 2013; Willoughby et al. 2015
