date,datayear,title,description,subject,categories,url
2025-10-28,2011,Blood transfusions in prostatectomies,"When patients have prostatectomies to treat prostate cancer, the surgery may cause blood loss requiring a blood transfusion. Blood transfusions may cause adverse reactions and affect the immune system, so this could affect the success of the surgery and whether the prostate cancer recurs. Use logistic regression or survival analysis to explore an observational dataset of patients.",medicine,"logistic regression, survival analysis",https://cmustatistics.github.io/data-repository/medicine/prostatectomy.html
2023-06-08,1828,Bloodletting,"Bloodletting—deliberately withdrawing large amounts of blood from patients—was a common medical practice for centuries, until evidence was finally collected on its efficacy. Use an early observational dataset to explore its use for pneumonia.",medicine,"logistic regression, contingency tables",https://cmustatistics.github.io/data-repository/medicine/bloodletting.html
2022-12-08,2017,Health exams in Vietnam,"As access to health care increases, public health advocates encourage ordinary people to get regular check-ups to detect problems before they become serious (and expensive). But not everyone follows this advice. This survey of people in Vietnam explores the factors leading people to get regular check-ups.",medicine,"surveys, classification, logistic regression",https://cmustatistics.github.io/data-repository/medicine/vietnam-health.html
2023-08-08,2023,US College Scorecard,"An extensive survey of American colleges and universities, recording the demographics of their graduates, typical salaries, and much more.",daily-life,"linear regression, ANOVA",https://cmustatistics.github.io/data-repository/daily-life/college-scorecard.html
2023-08-08,2023,RTG tinned fish,"The Rainbow Tomatoes Garden sells hundreds of kinds of canned seafood, and produces a complete table including 27 different attributes, from Latin name to sodium content. Write code to clean the data, then analyze factors affecting price and composition.",daily-life,"logistic regression, data cleaning, ANOVA",https://cmustatistics.github.io/data-repository/daily-life/rtg-tinned-fish.html
2025-07-01,2015,Fandango movie ratings,Which site do you use for movie ratings? How much do you trust the ratings? Walt Hicker took this question seriously and investigated the difference between Fandango ratings and other major platforms.,daily-life,"EDA, data visualization, t-test",https://cmustatistics.github.io/data-repository/daily-life/fandango_movie_ratings.html
2022-12-08,2015,Insect attraction to light,What kinds of lights are insects most attracted to? Analyze the results of a factorial experiment using light traps.,biology,"GLMs, experimental design",https://cmustatistics.github.io/data-repository/biology/bug-attraction.html
2019-07-10,2019,Bird genetic diversity,Evolutionary theory suggests that species spread over a wider geographic range should have greater genetic diversity. Does this hold true in birds? An observational study of 387 bird species.,biology,"linear regression, hierarchical model",https://cmustatistics.github.io/data-repository/biology/bird-diversity.html
2021-12-27,2017,AnAge Longevity Database,"The AnAge database includes information on the longevity of thousands of animal species, allowing studies of the factors related to long lifespans.",biology,linear regression,https://cmustatistics.github.io/data-repository/biology/anage.html
2021-12-27,2020,Dry beans,Sort and classify beans using features extracted from images.,biology,classification,https://cmustatistics.github.io/data-repository/biology/dry-beans.html
2017-06-15,2017,Spider nuptial gifts and fraud,"Male spiders give “gifts” of silk-wrapped food to female spiders to convince them to mate. Sometimes, they may cheat by gifting something other than food. Under what conditions do they cheat, and how much silk do they use to wrap fake gifts? Analyze an experiment on spiders in the lab.",biology,"ANOVA, linear regression",https://cmustatistics.github.io/data-repository/biology/spider-nuptials.html
